name,website
SK Hair Company,
Random Music Inc,http://www.rachamusicgroup.com
NYCrowded,http://nycrowded.com
Rokked,http://www.rokked.com
Fotolockr LLC,http://fotolockr.com
Material Wrld,http://materialwrld.com
Politically Inkorrect Novelties,
Royal Estates of Rochester New York,
Involved Media,http://www.involvedmedia.com/
Cristofe Luis Inc,http://cristofeluis.com
CafeMom,http://www.cafemom.com/
trakstream.com,http://www.trakstream.com
Crawford Solar Power Company,http://www.crawfordsolarpower.com
vente-privee USA,https://us.venteprivee.com/main/#signin
America's Amazing Teens™,http://prezi.com/4po9ee3bgt1n/americas-amazing-teens/
Pblcty,https://www.pblcty.com/Account/BeginRegistration
RentAStudent.com,http://www.rentastudent.com
Ontodia,http://www.ontodia.com
Income Discovery,http://www.incomediscovery.com
Knewton,http://www.knewton.com/
"Here's Your Neighborhood, Inc",
Fabulus,http://www.fabulus.co
C&C Graphics,
Get Airport Transit LLC,http://www.getairporttransit.com
Lot18,http://www.lot18.com/
NOOKA Inc.,http://www.nooka.com
Just Thank You,http://justthankyou.com
Petrucci Worldwide Music,
Distilled,http://www.distilled.net
Ideal Core Solutions NY Corp,http://www.idealcore.org
SJMusic,
CaseNEX,
StartupsNY,http://www.startupsny.org
"Heritage Link Brands, LLC",http://www.heritagelinkbrands.com
Admit.me,http://www.admit.me
Mocean Mobile,http://www.moceanmobile.com/aboutus/career-opportunities
Indicative,http://indicative.com
Clean Water For Everyone,http://www.cwfe.org
multi Media Mavens,http://M3Mavens.com
EMC Digital,http://www.emc.com/index.htm?fromGlobalSelector
NOORI Inc,http://noori.co
CrowdsUnite,http://crowdsunite.com
Chocomize,http://www.chocomize.com
SpareChair,https://sparechair.me/
Mansueto Ventures,http://www.mansueto.com/
"Barden Homes NYC, LLC",http://www.BardenHomesNYC.com
Adventr,http://adventr.tv
TheFix.com,http://www.thefix.com/
Pyne,http://www.getpyne.com
FreshNeck.com,http://FreshNeck.com
Lumina,http://luminasystems.com
Glass Handbag,http://www.glasshandbag.com
The Whistle,http://www.thewhistle.com/
talktala:_,http://www.talktala.com
Waitron,http://www.waitron.com
snail planning,
golath tv,http://www.goliatharts.com
The Dhobi - Dry Cleaning,http://www.thedhobi.com
FiestaFive,http://www.FiestaFive.com
CrowdJewel,http://www.crowdjewel.com
"Plutus Technologies - Web, Mobility, Cloud Consulting ",http://www.plutustec.com
Project Wag,http://www.projectwag.com
Karen's Body Beautiful,http://www.karensbodybeautiful.com
Jack Smile LLC,http://jacksmile.com/    http://www.vaultsonline.com/
LifeOnKey Inc.,http://www.lifeonkey.com
Holo G,
Jaroth Inc.,http://www.ptsservices.net
Foxotic,http://foxotic.com
Court House Regular,http://www.courthouseregular.com
Pagin.me,
Kanteron Systems,http://www.kanteron.com
BOLD Organics,http://www.bold-organics.com
Helios Coatings Inc.,http://www.helioscoatingsinc.com
Story Shelter,http://www.StoryShelter.com
allwomenstalk.com,http://allwomenstalk.com
SEOmetrics,http://www.seometrics.com
ondmoon.com llc,http://www.ondmoon.com/lulysse
SWITCH Charging Solutions,http://www.switchchargers.com
Heaven Is Us,
Morgan's don't run out,http://www.morgans.me
Readability,http://www.readability.com/
Alley Technology,http://www.alleyit.com
Human Condition Safety,http://hcsafety.com
"OFTimpex, Inc.",http://(a site in development)
Flying Monkey Interactive Inc,http://www.fmigames.com
Mojiva.com,http://www.mojiva.com/
CyberClass,
Hoefler & Frere-Jones,http://www.typography.com/
MyGymLive,http://www.mygymlive.com
Lore,http://lore.com/
GULLY GRAPHX,
SyncroFinance LLC,http://www.syncrofinance.com
GiftSimple,http://www.GiftSimple.com
Urmiga,
Chic Sugars,http://www.chicsugars.com
Monaeo LLC,https://monaeo.com
Alpha Airlines,
Copia Interactive LLC,http://www.thecopia.com/home/index.html
www.its-your-internet.com,http://www.its-your-internet.com/
Akhenaten The Musical LLC,http://akhenatenthemusical.com
Mercado Green LLC,http://mercadogreen.com
SS + K,http://ssk.com/
Trident Capital Group International,http://www.tridentcapgroup.com
Editure,
Inventway,http://www.inventwayAmerica.com
BidOnMyTickets.com,
ZURSH,http://www.zursh.com
OrangeYouGlad,http://www.orangeyouglad.com/
"Lessonface.com, Inc",https://www.lessonface.com
RoomActually,http://www.roomactually.com
FaceTrax,
Crowded.com,http://www.crowded.com
"Page Science, Inc.",http://www.pagescience.com
Monje,http://mon.je
Visual Goodness,http://www.visualgoodness.com/vg2/
The Last Kind,http://www.thelastkind.net
Cookbook Create,http://www.cookbookcreate.com
EveryScreen Media (acquired by Media6Degrees),http://www.everyscreenmedia.com/
Nodejitsu,https://www.nodejitsu.com/
rabt,http://rabt.co
True Action (aquired by eBay),http://trueaction.com/
Noir Eclair,http://www.noireclair.com
Colibri Media Tables,
Lineapple Inc.,http://www.lineapple.com/business
Urban Cargo,http://urbancargo.com
Social Fresh,http://socialfresh.com/
YouTube Web Academy Mergers and Acquisitions Programs,http://youtubewebacademy.blogspot.com.tr/
Indaba Media,https://www.indabamusic.com/
Shorefire Media,http://www.shorefire.com/
Mirame,http://www.mirameswim.com
dotbox (acquired by MDC Partners),http://www.dotbox.com/
"BioAegis Therapeutics, Inc.",http://www.bioaegistherapeutics.com
Gevva,http://www.gevva.com
Robocap,http://www.robocapon.com
Art In Your Space,http://www.artinyourspace.org
Plated.com,http://www.plated.com/
Refined Hype,http://www.refinedhype.com/
LeagueApps,http://www.leagueapps.com
Melty Cone Video,http://www.meltycone.com
Tel-Aviv University- The 10 Minute Health & Wellness System.,http://JamesKravMaga.com
Shefinds.com (SheFinds media),http://www.shefinds.com
Method Mill,http://www.methodmill.com
Makeshift Society,http://www.makeshiftsociety.com
Bluewolf Group,http://www.bluewolf.com/
GUITAR G.F.SARPONG INC,
FarFaria (Intuary Inc.),https://www.farfaria.com/
Legitimo,http://legitimoapp.com
Promediacorp,http://www.promediacorp.com/
FieldDoc,
Rassity Media Group LLC,http://www.gmixmag.com
Swiss Commerce,
